id,Age,Sexe,Ethnie,Etat,Signes de maladie mentale,Niveau de menace,Fuite,Camera corporelle,Categorie arme,Mois,Year,Jour du mois,Blanc,Noir,Hispanique,Natif,Asiatique,Autre
166,38,M,Noir,AL,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,20,0.66,0.26,0.04,0.0,0.01,0.02
255,77,M,Noir,AL,1,Attaque,Pas de fuite,0,Arme a feu,2,2015,20,0.66,0.26,0.04,0.0,0.01,0.02
584,37,M,Hispanique,TX,0,Attaque,En voiture,0,Arme a feu,2,2015,20,0.41,0.12,0.4,0.0,0.05,0.02
167,41,M,Blanc,NM,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,21,0.37,0.02,0.49,0.09,0.02,0.02
168,51,M,Blanc,IN,0,Attaque,Pas de fuite,0,Objets tranchants,2,2015,21,0.79,0.09,0.07,0.0,0.02,0.02
170,50,M,Blanc,FL,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,22,0.53,0.15,0.26,0.0,0.03,0.02
172,47,M,Blanc,LA,1,Attaque,Pas de fuite,0,Arme a feu,2,2015,23,0.59,0.32,0.05,0.01,0.02,0.02
174,37,M,Blanc,GA,0,Autre,Pas de fuite,0,Objets tranchants,2,2015,23,0.52,0.31,0.1,0.0,0.04,0.02
175,41,M,Blanc,GA,0,Attaque,A pied,0,Arme a feu,2,2015,23,0.52,0.31,0.1,0.0,0.04,0.02
176,16,M,Noir,AL,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,23,0.66,0.26,0.04,0.0,0.01,0.02
266,42,M,Blanc,PA,0,Attaque,En voiture,0,Objets tranchants,2,2015,23,0.76,0.1,0.08,0.0,0.04,0.02
371,39,M,Blanc,NE,0,Autre,Pas de fuite,0,Non Armé,2,2015,23,0.79,0.04,0.11,0.01,0.02,0.03
177,30,M,Blanc,WI,1,Attaque,Pas de fuite,0,Objets tranchants,2,2015,24,0.81,0.06,0.07,0.01,0.03,0.02
178,27,M,Noir,OK,0,Autre,En voiture,0,Autre,2,2015,25,0.65,0.07,0.11,0.08,0.02,0.07
179,43,M,Blanc,NV,1,Attaque,Pas de fuite,0,Arme a feu,2,2015,25,0.49,0.09,0.29,0.01,0.08,0.05
181,42,M,Hispanique,FL,0,Attaque,A pied,0,Arme a feu,2,2015,26,0.53,0.15,0.26,0.0,0.03,0.02
182,21,M,Hispanique,CA,0,Autre,Pas de fuite,0,Objets tranchants,2,2015,26,0.37,0.05,0.39,0.0,0.15,0.03
183,49,M,Blanc,MS,0,Autre,Pas de fuite,0,Non Armé,2,2015,26,0.57,0.38,0.03,0.0,0.01,0.01
184,34,F,Blanc,GA,0,Attaque,En voiture,0,Arme a feu,2,2015,26,0.52,0.31,0.1,0.0,0.04,0.02
180,31,M,Blanc,IN,0,Autre,Pas de fuite,0,Non Armé,2,2015,26,0.79,0.09,0.07,0.0,0.02,0.02
185,27,M,Hispanique,CA,0,Indetermine,Pas de fuite,0,Non Armé,2,2015,27,0.37,0.05,0.39,0.0,0.15,0.03
186,24,M,Blanc,SC,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,28,0.64,0.26,0.06,0.0,0.02,0.02
188,34,M,Noir,MO,0,Autre,En voiture,0,Non Armé,2,2015,28,0.8,0.11,0.04,0.0,0.02,0.03
189,28,F,Hispanique,AZ,0,Autre,Pas de fuite,0,Objets tranchants,2,2015,28,0.54,0.04,0.32,0.04,0.03,0.02
190,28,M,Noir,MO,0,Attaque,En voiture,0,Arme a feu,2,2015,28,0.8,0.11,0.04,0.0,0.02,0.03
191,40,M,Noir,NC,1,Attaque,En voiture,0,Arme a feu,2,2015,28,0.63,0.21,0.1,0.01,0.03,0.03
192,37,F,Blanc,AZ,0,Attaque,En voiture,0,Arme a feu,2,2015,28,0.54,0.04,0.32,0.04,0.03,0.02
187,17,M,Blanc,MI,0,Attaque,Pas de fuite,1,Non Armé,2,2015,28,0.75,0.14,0.05,0.0,0.03,0.03
195,35,M,Asiatique,TX,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,1,0.41,0.12,0.4,0.0,0.05,0.02
268,49,M,Blanc,MS,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,1,0.57,0.38,0.03,0.0,0.01,0.01
194,43,M,Noir,CA,1,Attaque,Pas de fuite,1,Non Armé,3,2015,1,0.37,0.05,0.39,0.0,0.15,0.03
196,20,M,Noir,IL,0,Autre,A pied,0,Arme a feu,3,2015,2,0.61,0.14,0.17,0.0,0.06,0.02
197,25,M,Noir,MD,0,Attaque,Pas de fuite,0,Arme a feu,3,2015,3,0.5,0.29,0.1,0.0,0.06,0.03
198,25,M,Blanc,AZ,0,Attaque,Pas de fuite,0,Objets tranchants,3,2015,3,0.54,0.04,0.32,0.04,0.03,0.02
